89192,5304896,31816,2107380,26358,2024716
162903,5351124,44347,2109144,38564,2027082
157628,5348758,41723,2108416,37315,2026186
181223,5358614,54280,2111426,42423,2030162
2886185,7100074,471899,2158914,456506,2102052
274733,5416672,71914,2114212,57753,2033984
986185,5863272,198853,2132286,171802,2059772
4558790,8179292,727107,2187558,710606,2145858
4729494,8291278,755230,2189896,733625,2150982
5354621,8661158,895197,2227612,859654,2195488
6495269,9333186,1194240,2335286,1126959,2315622
2360381,6759440,382703,2148064,382869,2084062
3686578,7609940,585507,2171416,591075,2118110
6266154,9175574,1156260,2323316,1088755,2301146
