59773,5275414,23303,2100355,19146,2017514
103876,5291952,34253,2101066,30710,2018826
100182,5291117,32461,2100784,29155,2018074
118327,5295107,41641,2102002,32339,2020036
1712304,5924828,414351,2122811,403979,2049353
174196,5316030,56444,2103021,45316,2021513
601556,5480792,166363,2112160,145098,2032674
2695569,6316306,644252,2136990,634325,2069067
2795566,6356631,668134,2138361,653843,2071590
3195837,6502340,788053,2162001,763225,2099080
3926401,6764448,1019826,2215091,968414,2156986
1401640,5801190,338101,2117625,340135,2041048
2186548,6110153,521847,2129135,529650,2056653
3795031,6704406,992151,2212128,940043,2152624
