3640597,6307349,713276,1985961,771780,1801655
3635903,6301180,711014,1983916,769518,1799610
3635625,6300790,710918,1983867,769390,1799529
3639299,6305297,712608,1985528,771104,1801214
3642785,6309509,715380,1988422,773404,1803636
3640713,6307157,714052,1986910,771860,1801908
3642753,6309668,714570,1987549,773826,1803995
3642827,6309424,714894,1987926,773166,1803388
3643421,6310149,715548,1988588,774428,1804658
3634845,6299438,710990,1984164,769502,1799866
3636865,6300621,710844,1983893,769460,1799699
3637107,6302869,711784,1984563,770560,1800529
3636191,6301620,711430,1984260,769958,1799978
3634555,6299147,710732,1983684,769220,1799362
