6026095,8737967,841093,2114044,885542,1915384
6020581,8730978,838027,2111209,882448,1912521
6020299,8730584,837889,2111118,882310,1912430
6023647,8734765,839865,2113051,884314,1914391
6026961,8738805,842385,2115693,886750,1916949
6025273,8736837,840845,2113969,885210,1915225
6027567,8739602,842465,2115710,886872,1917008
6027295,8739012,843161,2116473,887820,1918023
6027783,8739631,843631,2116937,888038,1918235
6018961,8728674,837497,2110937,881904,1912235
6027501,8736377,845183,2118512,889618,1919838
6022075,8732957,838973,2112032,883366,1913316
6021029,8731578,838441,2111551,882862,1912863
6018661,8728373,837523,2110755,881930,1912053
