59777,5275410,23286,2100346,19120,2017608,3775572,6675709,936393,2170002,885049,2031510
104888,5291948,34220,2101057,30773,2019096,3762999,6672279,930729,2167619,879209,2028951
100450,5291129,32444,2100775,29224,2018344,3764777,6672931,931553,2168041,880057,2029397
118219,5295031,41568,2101993,32331,2020146,3713469,6658743,909290,2159091,857890,2020543
1712708,5925232,414070,2122802,404055,2049511,3640802,6638793,877893,2146596,826773,2008328
174104,5315962,56347,2103052,45312,2021599,3703223,6655819,904820,2157245,853460,2018737
601240,5480716,166250,2112015,144957,2032656,3620393,6632699,868915,2142749,817747,2004433
2695605,6316478,644003,2136741,634084,2069089,3610226,6630517,865042,2141738,813762,2003310
2795290,6357123,668437,2138040,653426,2071284,3589487,6625007,855977,2138131,804441,1999447
3195121,6501672,787668,2161856,763157,2099070,3625402,6630001,869245,2140276,816797,2000680
3926093,6763980,1019361,2214898,968402,2156944,3818766,6692985,954905,2179080,903705,2040732
1401780,5801210,338004,2117616,340116,2041198,3753532,6669817,926698,2166096,875426,2027676
2186936,6110405,521750,2129126,529624,2056755,3748515,6668483,924814,2165533,873558,2027129
3793635,6703162,991726,2211967,940063,2152342,3808495,6686075,951700,2177205,900660,2039017
